order,PhylGroup,monkey,mean_phylum_abundance,taxa,CommonName,study,monkey_order
56,New_World,Ateles hybridus,0,Spirochaetes,Brown spider monkey,Mann et al. 2020,6
57,New_World,Ateles hybridus,6.3,Kiritimatiellaeota,Brown spider monkey,Mann et al. 2020,6
58,New_World,Ateles hybridus,0.44,Cyanobacteria,Brown spider monkey,Mann et al. 2020,6
59,New_World,Ateles hybridus,1.84,Proteobacteria,Brown spider monkey,Mann et al. 2020,6
60,New_World,Ateles hybridus,2.9,Tenericutes,Brown spider monkey,Mann et al. 2020,6
61,New_World,Lagothrix lagotricha,0,Euryarchaeota,Brown woolly monkey,Mann et al. 2020,7
62,New_World,Lagothrix lagotricha,0.355,Actinobacteria,Brown woolly monkey,Mann et al. 2020,7
63,New_World,Lagothrix lagotricha,8.47,Tenericutes,Brown woolly monkey,Mann et al. 2020,7
64,New_World,Lagothrix lagotricha,8.815,Cyanobacteria,Brown woolly monkey,Mann et al. 2020,7
65,New_World,Lagothrix lagotricha,0.01,Rare or unassigned,Brown woolly monkey,Mann et al. 2020,7
66,New_World,Lagothrix lagotricha,0,Kiritimatiellaeota,Brown woolly monkey,Mann et al. 2020,7
67,New_World,Lagothrix lagotricha,12.415,Bacteroidetes,Brown woolly monkey,Mann et al. 2020,7
68,New_World,Lagothrix lagotricha,65.805,Firmicutes,Brown woolly monkey,Mann et al. 2020,7
69,New_World,Lagothrix lagotricha,4.13,Proteobacteria,Brown woolly monkey,Mann et al. 2020,7
70,New_World,Lagothrix lagotricha,0,Spirochaetes,Brown woolly monkey,Mann et al. 2020,7
71,Ape,Gorilla gorilla,1.12,Proteobacteria,Gorilla,Mann et al. 2020,8
72,Ape,Gorilla gorilla,0.61,Tenericutes,Gorilla,Mann et al. 2020,8
73,Ape,Gorilla gorilla,54.32,Firmicutes,Gorilla,Mann et al. 2020,8
74,Ape,Gorilla gorilla,3.78,Spirochaetes,Gorilla,Mann et al. 2020,8
75,Ape,Gorilla gorilla,2.27,Rare or unassigned,Gorilla,Mann et al. 2020,8
76,Ape,Gorilla gorilla,27.07,Bacteroidetes,Gorilla,Mann et al. 2020,8
77,Ape,Gorilla gorilla,5.31,Kiritimatiellaeota,Gorilla,Mann et al. 2020,8
78,Ape,Gorilla gorilla,0.22,Cyanobacteria,Gorilla,Mann et al. 2020,8
79,Ape,Gorilla gorilla,4.44,Actinobacteria,Gorilla,Mann et al. 2020,8
80,Ape,Gorilla gorilla,0.86,Euryarchaeota,Gorilla,Mann et al. 2020,8
81,Ape,Homo sapiens,2.722111255,Actinobacteria,Human,Berer et al. 2017,9
82,Ape,Homo sapiens,13.12010108,Bacteroidetes,Human,Berer et al. 2017,9
83,Ape,Homo sapiens,0.298972567,Cyanobacteria,Human,Berer et al. 2017,9
84,Ape,Homo sapiens,0.019999433,Euryarchaeota,Human,Berer et al. 2017,9
85,Ape,Homo sapiens,80.16970861,Firmicutes,Human,Berer et al. 2017,9
86,Ape,Homo sapiens,0.165817622,Kiritimatiellaeota,Human,Berer et al. 2017,9
